nres,me,ma,name,sasa_sc,sasa_bb,mass_error,class,gyr,linearity
9,-0.0499099,-0.024093017,3pifB08,1048.7627,243.20517,-0.07047859,6,5.254173983559491,0.5837971092843879
9,-0.06590407,-0.024615258,2hr0B03,823.9772,219.43399,-0.076130554,6,4.469956544128647,0.49666183823651633
13,0.054156024,0.047326732,3r4yA01,1164.0355,345.40366,-0.07929843,1,6.11695459178977,0.47053496859921307
13,0.17070706,0.054066636,3cj8A01,1233.9778,330.47055,-0.06654442,4,6.56632802353961,0.5051021556568931
13,0.0525464,0.031411573,2z5bB02,1330.4359,314.62863,-0.060404617,6,6.7841027583423505,0.521854058334027
13,-0.09263104,-0.053273663,2xzmW04,1213.8313,278.65707,-0.07254378,6,5.408375201489551,0.41602886165304237
13,0.08696152,0.07284243,1q16A02,1450.6809,309.72662,-0.06020992,6,7.004802079820567,0.5388309292169666
14,0.079759605,0.03845702,3rf9A03,1545.9651,268.03317,-0.07743199,4,6.763021734110202,0.4830729810078716
14,0.22620496,0.089662574,1mkmA02,1438.1577,309.56238,-0.07365196,1,6.606414376606212,0.471886741186158
15,0.041788757,0.028460909,3fo8D03,1282.156,397.53375,-0.06272326,6,7.579663913375296,0.505310927558353
15,0.1871515,0.14571688,2fftA01,1491.1804,290.10577,-0.073820755,6,6.752858995208737,0.45019059968058245
15,0.2633614,0.15323952,3cp7A03,1072.9222,354.33026,-0.049252585,6,6.7227864736223655,0.4481857649081577
15,0.12381698,0.096963674,1d66B02,1391.7465,263.70993,-0.07310821,1,6.848898891485954,0.4565932594323969
16,0.20055339,0.116907634,2p5zX03,1448.5114,316.2431,-0.066841215,4,7.319938004806387,0.4574961253003992
16,0.041133005,0.045033153,3u5cE04,1515.0525,369.70346,-0.07182774,1,7.788734103887429,0.4867958814929643
16,-0.12519766,-0.053620674,2v49501,1536.3986,396.65652,-0.07213361,1,8.244030233917018,0.5152518896198136
16,-0.014181604,0.04587429,1xaoA02,1487.1652,364.00558,-0.07115563,6,7.472925999364581,0.46705787496028633
17,0.3665973,0.19155537,3s6n201,1705.7697,252.52808,-0.0705303,1,7.655689870212881,0.4503346982478165
17,0.43454883,0.1818374,2oarA02,1649.4174,206.6452,-0.07653876,1,7.645278457971401,0.4497222622336118
17,0.31871486,0.16361628,3ewkA02,1596.8597,284.41284,-0.07171246,1,7.752153909818273,0.45600905351872195
17,0.29334047,0.16244034,2lkmA01,1669.4762,260.70157,-0.07533033,1,8.042873532290926,0.47311020778181917
18,0.04478264,0.1293249,3kfuG02,1334.8387,428.00464,-0.06739083,1,6.632604545066156,0.36847803028145315
18,0.27156478,0.14641646,4kiz502,1699.0083,353.0875,-0.07066231,6,8.475033756502704,0.47083520869459466
18,0.13688326,0.13348757,3t5qG03,1608.2019,384.28174,-0.099787295,6,7.955878181123337,0.44199323228462983
